bedrooms,bathrooms,toilets,parking_space,title,town,state,price,title_Detached Duplex,title_Terraced Duplexes,title_Semi Detached Duplex,title_Detached Bungalow,title_Block of Flats,title_Semi Detached Bungalow,title_Terraced Bungalow,log_price
4.0,5.0,5.0,4.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,4.0,5.0,6.0,Detached Duplex,38,0,40000000.0,1,0,0,0,0,0,0,17.50439001207821
4.0,4.0,5.0,2.0,Semi Detached Duplex,15,0,75000000.0,0,0,1,0,0,0,0,18.132998671500584
5.0,5.0,6.0,1.0,Detached Duplex,15,0,450000000.0,1,0,0,0,0,0,0,19.92475814072864
4.0,5.0,5.0,4.0,Detached Duplex,15,0,65000000.0,1,0,0,0,0,0,0,17.98989782785991
2.0,2.0,3.0,6.0,Detached Bungalow,176,0,12000000.0,0,0,0,1,0,0,0,16.300417207752275
1.0,1.0,1.0,1.0,Detached Duplex,15,0,200000000.0,1,0,0,0,0,0,0,19.11382792451231
4.0,4.0,5.0,5.0,Detached Duplex,38,0,60000000.0,1,0,0,0,0,0,0,17.909855120186375
4.0,5.0,6.0,3.0,Semi Detached Duplex,15,0,65000000.0,0,0,1,0,0,0,0,17.98989782785991
4.0,4.0,5.0,4.0,Semi Detached Duplex,15,0,70000000.0,0,0,1,0,0,0,0,18.064005800013632
6.0,6.0,7.0,4.0,Detached Duplex,8,0,450000000.0,1,0,0,0,0,0,0,19.92475814072864
4.0,4.0,5.0,4.0,Terraced Duplexes,15,0,48000000.0,0,1,0,0,0,0,0,17.686711568872166
4.0,5.0,5.0,4.0,Detached Duplex,8,0,170000000.0,1,0,0,0,0,0,0,18.951308995014536
3.0,3.0,4.0,2.0,Block of Flats,18,0,350000000.0,0,0,0,0,1,0,0,19.67344371244773
5.0,5.0,6.0,5.0,Detached Duplex,15,0,85000000.0,1,0,0,0,0,0,0,18.258161814454592
3.0,3.0,4.0,4.0,Terraced Duplexes,15,0,34000000.0,0,1,0,0,0,0,0,17.341871082580436
4.0,5.0,5.0,2.0,Terraced Duplexes,8,0,130000000.0,0,1,0,0,0,0,0,18.683045008419857
4.0,4.0,5.0,3.0,Detached Duplex,38,0,60000000.0,1,0,0,0,0,0,0,17.909855120186375
5.0,5.0,5.0,4.0,Detached Duplex,15,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
5.0,6.0,5.0,4.0,Detached Duplex,15,0,250000000.0,1,0,0,0,0,0,0,19.33697147582652
4.0,4.0,5.0,5.0,Detached Duplex,15,0,180000000.0,1,0,0,0,0,0,0,19.008467408854486
4.0,4.0,5.0,2.0,Semi Detached Duplex,15,0,75000000.0,0,0,1,0,0,0,0,18.132998671500584
5.0,5.0,5.0,4.0,Detached Duplex,15,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
6.0,8.0,8.0,3.0,Detached Duplex,0,0,850000000.0,1,0,0,0,0,0,0,20.560746907448635
4.0,4.0,5.0,4.0,Detached Duplex,20,0,140000000.0,1,0,0,0,0,0,0,18.75715298057358
5.0,5.0,6.0,4.0,Detached Duplex,0,0,700000000.0,1,0,0,0,0,0,0,20.36659089300768
3.0,5.0,5.0,4.0,Terraced Duplexes,38,0,40000000.0,0,1,0,0,0,0,0,17.50439001207821
5.0,5.0,6.0,5.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,4.0,5.0,4.0,Terraced Duplexes,15,0,55000000.0,0,1,0,0,0,0,0,17.822843743196746
2.0,2.0,3.0,2.0,Block of Flats,15,0,30000000.0,0,0,0,0,1,0,0,17.216707939626428
2.0,2.0,3.0,4.0,Terraced Duplexes,15,0,53000000.0,0,1,0,0,0,0,0,17.785802471516394
5.0,6.0,6.0,4.0,Detached Duplex,15,0,270000000.0,1,0,0,0,0,0,0,19.41393251696265
3.0,3.0,4.0,4.0,Block of Flats,15,0,25500000.0,0,0,0,0,1,0,0,17.054189010128656
5.0,5.0,6.0,4.0,Detached Duplex,20,0,235000000.0,1,0,0,0,0,0,0,19.275096072108433
3.0,3.0,4.0,3.0,Terraced Duplexes,15,0,65000000.0,0,1,0,0,0,0,0,17.98989782785991
4.0,4.0,4.0,3.0,Terraced Duplexes,15,0,55000000.0,0,1,0,0,0,0,0,17.822843743196746
5.0,5.0,6.0,4.0,Detached Duplex,15,0,120000000.0,1,0,0,0,0,0,0,18.60300230074632
4.0,5.0,5.0,4.0,Semi Detached Duplex,15,0,69000000.0,0,0,1,0,0,0,0,18.049617062561534
5.0,5.0,6.0,4.0,Detached Duplex,15,0,105000000.0,1,0,0,0,0,0,0,18.469470908121796
4.0,4.0,5.0,3.0,Semi Detached Duplex,38,0,60000000.0,0,0,1,0,0,0,0,17.909855120186375
5.0,5.0,6.0,5.0,Detached Duplex,0,0,1100000000.0,1,0,0,0,0,0,0,20.818576016750736
